Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.12668,0.10699,0.073163,0,0,0,2.7902,0.0061691,-6.7175E-07,-2.4056E-05,0.00564,-1.54E-07,0.011177,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body_long-1,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0455604268709419,0.00830943309140333,0.00297622851896683,0,0,0,0.0727928435161986,2.20927876796312E-05,-1.64845302056298E-08,-1.56454773175219E-07,1.62632133784213E-05,2.96411876511222E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,,LFS,fixed,-0.059044,0.1894,-0.014503,1.5708,0,1.5708,base_link,0,0,0,0,0,0,0,,,,,,,,
LFW,0.015,-6.93889390390723E-18,0,0,0,0,0.767080911081153,0.00116426102407189,-1.25105048588131E-22,-1.83311841364852E-20,0.000639661580367031,-6.7762635780344E-21,0.000639661580367032,0,0,0,0,0,0,package://lide/meshes/LFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-1,Origin_LFW,Axis_LFW,LFW,continuous,0.063346,-0.006798,0.015044,-1.6264,0,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,-0.0191828308457407,-0.00900932874707058,0.0520056318885905,0,0,0,0.0727928435161986,2.20927876796313E-05,-1.64845302056308E-08,1.56454773175212E-07,1.62632133784213E-05,-2.96411876510556E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,,RFS,fixed,-0.10807,-0.0057812,0.0027844,1.5708,0,1.5708,base_link,0,0,0,0,0,0,0,,,,,,,,
RFW,-0.015,-3.46944695195361E-18,0,0,0,0,0.767080911081152,0.00116426102407189,-4.9281223125782E-37,4.60638074444741E-39,0.000639661580367031,-5.25031148738029E-37,0.000639661580367031,0,0,0,0,0,0,package://lide/meshes/RFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,-0.036969,-0.024084,0.064073,0,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
BS,0,0.0226404680547426,2.77555756156289E-17,0,0,0,0.0814336669941267,7.50476643218914E-05,-1.13573011749649E-20,1.71770564074039E-20,5.07073399734386E-05,-3.71742286816402E-20,7.44755694233046E-05,0,0,0,0,0,0,package://lide/meshes/BS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/BS.STL,,ball_sus-3,Origin_BS,,BS,fixed,-0.31175,0.105,0.0094377,-1.5708,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
BW,0,0,-6.93889390390723E-18,0,0,0,0.299097213540614,0.000107128427988291,1.58897042341279E-20,2.02573307702604E-22,0.000109833959413418,-8.77440292360281E-20,0.000107128427988291,0,0,0,0,0,0,package://lide/meshes/BW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/BW.STL,,Alba-4,Origin_BW,,BW,fixed,0,0.055738,0,1.5708,-1.5708,0,BS,0,0,0,,,,,,,,,,,,
fcam,-0.0115544746517359,-2.64429642847508E-06,0.00129029302682179,0,0,0,0.0436119957238952,2.35707061906175E-05,-1.01842273865761E-09,2.17585832536658E-08,4.29479050056035E-06,-8.85018118760127E-10,2.21058153511886E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-2,fcam,,fcam,fixed,-0.0038823,0.105,0.15182,0,0.2618,0,base_link,0,0,0,,,,,,,,,,,,
bcam,-0.02010346452991,-2.64354903288522E-06,-0.00725869505663598,0,0,0,0.0436119949785286,2.35707056099601E-05,-1.0183475800564E-09,2.17579332532698E-08,4.29479078276665E-06,-8.8548450396166E-10,2.21058144654638E-05,0,0,0,0,0,0,package://lide/meshes/bcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/bcam.STL,,Webcam_C920-1,bcam,,bcam,fixed,0,0.105,0.11323,0,0.7854,0,base_link,0,0,0,,,,,,,,,,,,
Lidar,0.013523359588641,0.000461955982206302,-0.0287648854950511,0,0,0,0.0730845717569496,1.95808757419765E-05,-1.03933585736234E-07,-4.28391168396099E-07,2.41250079666672E-05,9.4271020643415E-09,4.14184516368183E-05,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,,RPLidar-1,Lidar,,Lidar,fixed,-0.19458,0.10401,0.2285,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu_link,0.00385022026093959,6.23984008056022E-05,-0.00103377575234337,0,0,0,0.00189180567975737,7.79431263454135E-08,1.39214190556514E-10,1.54511633252899E-11,4.85473464623125E-08,-6.30099051334897E-11,1.25233585370532E-07,0,0,0,0,0,0,package://lide/meshes/imu_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/imu_link.STL,,IMU-1,imu_link,,imu_link,fixed,-0.044,0.105,0.177,0,0,0,base_link,0,0,0,,,,,,,,,,,,
